sku,nomeCatalogo,marcaCatalogo,slot,set,esitoDocumentale,compatibilitaScheda,collaudoFisico,nota,datiNecessari,fonti,verificaWebIndividuale
sto-1tb41,1 TB UFS 4.1,Kioxia,storage,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
cam-peri2,Periscopio 6x 200 MP,Sony,cameraRear,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/OIS, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
camf-50b,Frontale 50 MP AF OIS,Samsung,cameraFront,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/AF, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
spk-dual,Stereo dual driver 1.4 W,Goertek,speaker,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, impedenza, potenza e risposta, codec/amplificatore e volume acustico.",,NO_O_SOLO_FAMIGLIA
usb-40b,USB4 40 Gbps flex,Amphenol,usb,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN connettore/flex, pinout, rating elettrico, controller PD, mux/retimer, ESD e progetto del power path.",,NO_O_SOLO_FAMIGLIA
hap-xl,LRA X-axis premium,Leaderdrive,haptics,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, risonanza/tensione, driver e meccanica.",,NO_O_SOLO_FAMIGLIA
cons-screws,Viti Phillips M1.6 (set),SBS Parts,frame,11,UTENSILE_O_CONSUMABILE,NON_APPLICABILE,NON_ESEGUITO,Non componente elettronico saldato; richiede eventuale scheda tecnica/SDS e idoneita di processo.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
cons-glue,Colla B-7000 15 ml,SBS Parts,frame,12,UTENSILE_O_CONSUMABILE,NON_APPLICABILE,NON_ESEGUITO,Non componente elettronico saldato; richiede eventuale scheda tecnica/SDS e idoneita di processo.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
cons-tabs,Linguette adesive batteria,SBS Parts,frame,12,UTENSILE_O_CONSUMABILE,NON_APPLICABILE,NON_ESEGUITO,Non componente elettronico saldato; richiede eventuale scheda tecnica/SDS e idoneita di processo.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
sto-2tb,2 TB UFS 4.1,Samsung,storage,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
disp-oled63,"OLED 6.3"" 120Hz Flat",BOE,display,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
back-blue,Cover vetro Blu Abisso,LuxGuard,backcover,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-green,Cover vetro Verde Salvia,LuxGuard,backcover,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
frame-ss,Telaio acciaio inox 316L,AeroForge,frame,12,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
frame-mg,Telaio magnesio,Vertex,frame,12,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
frame-flat,Telaio flat-edge 2026,Vertex,frame,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
soc-8s,Snapdragon 8s Gen 4,Qualcomm,soc,8,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/Product-Brief-Snapdragon-8s-Gen-4.pdf,PARZIALE_FAMIGLIA
soc-8g2,Snapdragon 8 Gen 2,Qualcomm,soc,12,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-7g3,Snapdragon 7 Gen 3,Qualcomm,soc,12,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-6g1,Snapdragon 6 Gen 1,Qualcomm,soc,12,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-d9300,Dimensity 9300+,MediaTek,soc,12,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-d8300,Dimensity 8300,MediaTek,soc,12,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://www.mediatek.com/products/tablets/mediatek-dimensity-8300,PARZIALE_FAMIGLIA
soc-d7300,Dimensity 7300,MediaTek,soc,12,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-ex2500,Exynos 2500,Samsung,soc,13,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://semiconductor.samsung.com/processor/mobile-processor/exynos-2500/,PARZIALE_FAMIGLIA
soc-tensor4,Tensor G4,Google,soc,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-kirin,Kirin 9010,HiSilicon,soc,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
ram-8x,8 GB LPDDR5X,Micron,ram,8,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
ram-12lp4,12 GB LPDDR4X,Micron,ram,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
ram-32,32 GB LPDDR5X,SK Hynix,ram,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
sto-32,32 GB eMMC 5.1,Micron,storage,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
sto-256u4,256 GB UFS 4.0,Kioxia,storage,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
sto-512u31,512 GB UFS 3.1,Micron,storage,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
board-lite,Mainboard SBS-L3,SBS Parts,motherboard,5,PCB_NON_DOCUMENTATO,NON_VERIFICATA,NON_ESEGUITO,Nessun progetto PCB/fabbricazione individuato nei file del repository. Le ricerche mirate SBS-A7 e SBS-X9/SBS-G8 non hanno restituito documentazione pertinente; non prova di inesistenza.,"MPN/revisione PCB, schema, netlist, stack-up, Gerber/ODB++, BOM, XY pick-and-place, pinout, firmware e collaudi.",,NO_O_SOLO_FAMIGLIA
board-rf,Mainboard SBS-RF mmWave,SBS Parts,motherboard,9,PCB_NON_DOCUMENTATO,NON_VERIFICATA,NON_ESEGUITO,Nessun progetto PCB/fabbricazione individuato nei file del repository. Le ricerche mirate SBS-A7 e SBS-X9/SBS-G8 non hanno restituito documentazione pertinente; non prova di inesistenza.,"MPN/revisione PCB, schema, netlist, stack-up, Gerber/ODB++, BOM, XY pick-and-place, pinout, firmware e collaudi.",,NO_O_SOLO_FAMIGLIA
board-game,Mainboard SBS-G8 Game,SBS Parts,motherboard,7,PCB_NON_DOCUMENTATO,NON_VERIFICATA,NON_ESEGUITO,Nessun progetto PCB/fabbricazione individuato nei file del repository. Le ricerche mirate SBS-A7 e SBS-X9/SBS-G8 non hanno restituito documentazione pertinente; non prova di inesistenza.,"MPN/revisione PCB, schema, netlist, stack-up, Gerber/ODB++, BOM, XY pick-and-place, pinout, firmware e collaudi.",,NO_O_SOLO_FAMIGLIA
th-cu,Heatpipe rame 0.4 mm,CoolCo,thermal,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno/spessore, compressione, conducibilita, contatti e verifica termica.",,NO_O_SOLO_FAMIGLIA
th-gr2,Doppia grafite,CoolCo,thermal,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno/spessore, compressione, conducibilita, contatti e verifica termica.",,NO_O_SOLO_FAMIGLIA
th-coil,VC + bobina Qi2,CoolCo,thermal,8,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno/spessore, compressione, conducibilita, contatti e verifica termica.",,NO_O_SOLO_FAMIGLIA
bat-3500,Cella 3500 mAh,BYD,battery,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-4000,Cella 4000 mAh,ATL,battery,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-5500,Cella 5500 mAh Si/C,ATL,battery,13,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-8000,Cella 8000 mAh stacked,BYD,battery,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-stacked,Cella stacked 6800 mAh Si/C,ATL,battery,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
disp-lcd67,"LCD IPS 6.7"" 90Hz",BOE,display,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
disp-oled61,"OLED 6.1"" 120Hz",LG Display,display,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
disp-fold,"OLED pieghevole 7.6""",Samsung Display,display,14,ESCLUSO_DALL_UTENTE,NON_VERIFICATA,NON_ESEGUITO,Escluso dalla selezione attiva non-fold.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
disp-eco,"TFT 6.5"" 60Hz",Tianma,display,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
glass-gg3,Gorilla Glass 3,Corning,glass,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
glass-gg7,Gorilla Glass 7i,Corning,glass,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
glass-armor,Gorilla Armor 2,Corning,glass,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
glass-utg,Ultra Thin Glass,Schott,glass,14,ESCLUSO_DALL_UTENTE,NON_VERIFICATA,NON_ESEGUITO,Escluso dalla selezione attiva non-fold.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
back-red,Cover vetro Rosso lava,LuxGuard,backcover,14,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-black,Cover vetro Nero piano,LuxGuard,backcover,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-white,Cover vetro Bianco perla,LuxGuard,backcover,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-carbon,Cover fibra di carbonio,AeroForge,backcover,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-wood,Cover legno noce,EcoLine,backcover,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
cam-uw,Dual 50+50 MP UW,Sony,cameraRear,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/OIS, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
cam-peri10,Periscopio 10x 64 MP,Sony,cameraRear,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/OIS, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
cam-1inch,"Sensore 1"" 50 MP",Sony,cameraRear,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/OIS, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
camf-12,Frontale 12 MP,Sony,cameraFront,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/AF, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
camf-50,Frontale 50 MP AF,Samsung,cameraFront,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/AF, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
spk-stereo-bot,Stereo bottom dual,Goertek,speaker,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, impedenza, potenza e risposta, codec/amplificatore e volume acustico.",,NO_O_SOLO_FAMIGLIA
spk-hires,Speaker Hi-Res 192 kHz,AAC Technologies,speaker,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, impedenza, potenza e risposta, codec/amplificatore e volume acustico.",,NO_O_SOLO_FAMIGLIA
usb-pd,USB-C PD 3.1 140W,Amphenol,usb,15,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN connettore/flex, pinout, rating elettrico, controller PD, mux/retimer, ESD e progetto del power path.",,NO_O_SOLO_FAMIGLIA
usb-dp,USB-C DP 2.1 8K,Amphenol,usb,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN connettore/flex, pinout, rating elettrico, controller PD, mux/retimer, ESD e progetto del power path.",,NO_O_SOLO_FAMIGLIA
ant-wifi6e,Flex Wi-Fi 6E / 5G sub-6,Broadcom,antenna,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN antenna e radio, matching RF, bande, geometria massa, connettori e risultati RF.",,NO_O_SOLO_FAMIGLIA
ant-uwb,Flex UWB + NFC,NXP,antenna,8,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN antenna e radio, matching RF, bande, geometria massa, connettori e risultati RF.",,NO_O_SOLO_FAMIGLIA
hap-z,Motore lineare asse Z,Nidec,haptics,8,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, risonanza/tensione, driver e meccanica.",,NO_O_SOLO_FAMIGLIA
hap-dual,Doppio LRA stereo,Leaderdrive,haptics,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, risonanza/tensione, driver e meccanica.",,NO_O_SOLO_FAMIGLIA
mic-4,Array 4 MEMS beamforming,Knowles,mic,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, interfaccia, bias/rail, clock, disposizione e DSP.",,NO_O_SOLO_FAMIGLIA
sim-dual,Carrello dual nano-SIM,Luxshare,sim,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,MPN e quote del socket/carrello; pinout e controller.,,NO_O_SOLO_FAMIGLIA
sim-hybrid,Carrello ibrido SIM/SD,Luxshare,sim,8,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,MPN e quote del socket/carrello; pinout e controller.,,NO_O_SOLO_FAMIGLIA
cons-thermalp,Pad termico 1 mm (set),SBS Parts,frame,15,UTENSILE_O_CONSUMABILE,NON_APPLICABILE,NON_ESEGUITO,Non componente elettronico saldato; richiede eventuale scheda tecnica/SDS e idoneita di processo.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
cons-kapton,Nastro Kapton 10 mm,SBS Parts,frame,15,UTENSILE_O_CONSUMABILE,NON_APPLICABILE,NON_ESEGUITO,Non componente elettronico saldato; richiede eventuale scheda tecnica/SDS e idoneita di processo.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
cons-ipa,IPA 99% 100 ml,SBS Parts,frame,16,UTENSILE_O_CONSUMABILE,NON_APPLICABILE,NON_ESEGUITO,Non componente elettronico saldato; richiede eventuale scheda tecnica/SDS e idoneita di processo.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
cons-tweezers,Pinzette ESD,SBS Parts,frame,16,UTENSILE_O_CONSUMABILE,NON_APPLICABILE,NON_ESEGUITO,Non componente elettronico saldato; richiede eventuale scheda tecnica/SDS e idoneita di processo.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
